id;numero;nom_rue;nom_complet;secteur maternelle;secteur elementaire
2811;24;RUE CLUSERET;24 RUE CLUSERET;Maternelle des Raguidelles;Elémentaire des Raguidelles
2812;62;RUE PASTEUR;62 RUE PASTEUR;Maternelle République;Elémentaire Parc
2813;59;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;59 BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;Maternelle des Raguidelles;
2814;147;BOULEVARD HENRI SELLIER;147 BOULEVARD HENRI SELLIER;Maternelle des Raguidelles;Elémentaire des Raguidelles
2815;44;RUE ALBERT CARON;44 RUE ALBERT CARON;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
2816;142;BOULEVARD HENRI SELLIER;142 BIS BOULEVARD HENRI SELLIER;Maternelle des Raguidelles;Elémentaire des Raguidelles
2817;83;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;83 BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;Maternelle des Raguidelles;
2818;7;RUE ARTHEME GENTEUR;7 RUE ARTHEME GENTEUR;Maternelle des Raguidelles;Elémentaire des Raguidelles
2819;24;BOULEVARD LOUIS LOUCHEUR;24 BOULEVARD LOUIS LOUCHEUR;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
2820;6;RUE RAYMOND COSSON;6 RUE RAYMOND COSSON;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
2821;104;BOULEVARD HENRI SELLIER;104 BOULEVARD HENRI SELLIER;Maternelle des Raguidelles;Elémentaire des Raguidelles
2822;33;RUE ROGER SALENGRO;33 BIS RUE ROGER SALENGRO;Maternelle des Cottages;Elémentaire des Cottages
2823;23;RUE PAUL BERT;23 RUE PAUL BERT;Maternelle des Cottages;Elémentaire des Cottages
2824;27;RUE HENRI REGNAULT;27 RUE HENRI REGNAULT;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
2825;15;ALLEE JEAN-BAPTISTE LULLY;15 ALLEE JEAN-BAPTISTE LULLY;;Elémentaire Marcel Mouloudji
2826;7;RUE BEAUSEJOUR;7 RUE BEAUSEJOUR;Maternelle des Cottages;Elémentaire des Cottages
2827;82;RUE PAUL BERT;82 RUE PAUL BERT;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
2828;25;RUE VOLTAIRE;25 RUE VOLTAIRE;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
2829;42;RUE JACQUES DECOUR;42 RUE JACQUES DECOUR;Maternelle des Cottages;Elémentaire des Cottages
2830;30;RUE CLUSERET;30 RUE CLUSERET;Maternelle des Raguidelles;Elémentaire des Raguidelles
2831;37;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;37 BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;Maternelle des Raguidelles;
2832;8;RUE CURIE;8 RUE CURIE;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
2834;23;AVENUE GEORGES POMPIDOU;23 AVENUE GEORGES POMPIDOU;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
2835;43;RUE ROUGET DE LISLE;43 RUE ROUGET DE LISLE;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
2836;3;RUE HUBERT CHARPENTIER;3 RUE HUBERT CHARPENTIER;Maternelle des Cottages;Elémentaire des Cottages
2837;4;RUE CLUSERET;4 RUE CLUSERET;Maternelle des Raguidelles;Elémentaire des Raguidelles
2839;144;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;144 BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;Maternelle des Raguidelles;
2840;3;AVENUE LEON BOURGEOIS;3 AVENUE LEON BOURGEOIS;Maternelle Wilson;Elémentaire Vaillant Jaurès
2841;65;RUE ROUGET DE LISLE;65 RUE ROUGET DE LISLE;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
2842;6;RUE HUCHE;6 RUE HUCHE;Maternelle des Cottages;Elémentaire des Cottages
2843;73;RUE VOLTAIRE;73 RUE VOLTAIRE;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
2844;79;RUE PASTEUR;79 RUE PASTEUR;Maternelle République;Elémentaire Parc
2845;28;AVENUE JEAN JAURES;28 BIS AVENUE JEAN JAURES;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
2846;66;RUE VOLTAIRE;66 RUE VOLTAIRE;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
2847;33;RUE BENOIT MALON;33 RUE BENOIT MALON;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
2848;46;RUE PASTEUR;46 RUE PASTEUR;Maternelle République;Elémentaire Parc
2849;28;RUE CLAUDE BURGOD;28 RUE CLAUDE BURGOD;Maternelle des Cottages;Elémentaire des Cottages
2850;29;QUAI GALLIENI;29 QUAI GALLIENI;Maternelle Noor Inayat Khan Madeleine;Elémentaire Noor Inayat Khan Madeleine
2851;27;RUE EDOUARD NIEUPORT;27 RUE EDOUARD NIEUPORT;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
2852;26;RUE EDOUARD NIEUPORT;26 RUE EDOUARD NIEUPORT;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
2853;21;RUE CLUSERET;21 RUE CLUSERET;Maternelle des Raguidelles;Elémentaire des Raguidelles
2854;5;AVENUE FRANKLIN ROOSEVELT;5 AVENUE FRANKLIN ROOSEVELT;Maternelle Simone Veil;Elémentaire Jules Ferry
2855;29;RUE EMILE DUCLAUX;29 RUE EMILE DUCLAUX;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
2856;5;ALLEE CAMILLE SAINT-SAENS;5 ALLEE CAMILLE SAINT-SAENS;;Elémentaire des Cottages
2857;53;RUE ROGER SALENGRO;53 RUE ROGER SALENGRO;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
2858;86;RUE PAUL BERT;86 RUE PAUL BERT;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
2859;27;RUE BENOIT MALON;27 RUE BENOIT MALON;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
2860;6;AVENUE JUSTIN GODART;6 AVENUE JUSTIN GODART;Maternelle Noor Inayat Khan Madeleine;Elémentaire Noor Inayat Khan Madeleine
